city,cluster,latitude,longitude
"Aberdeen, SD",4,45.4649805,-98.487813
"Aberdeen, WA",0,46.975371,-123.815722
"Abilene, TX",1,32.44645,-99.7475905
"Ada, OK",0,34.7743383,-96.6783651
"Adrian, MI",0,41.8975152,-84.0373054
"Akron, OH",1,41.083064,-81.518485
"Alamogordo, NM",1,32.8998822,-105.9602081
"Albany, GA",4,31.5782062,-84.1556809
"Albany, NY",0,42.6511674,-73.754968
"Albany, OR",0,44.6365071,-123.1059324
"Albemarle, NC",0,35.3501426,-80.2000578
"Albert Lea, MN",1,43.6480127,-93.3682656
"Albertville, AL",1,34.2675937,-86.2088669
"Alexander City, AL",0,32.944012,-85.9538532
"Alexandria, LA",4,31.3119463,-92.4453558
"Alexandria, MN",1,45.8835101,-95.3745015
"Alice, TX",4,27.7522487,-98.0697249
"Allentown, PA",1,40.6022059,-75.4712794
"Alma, MI",4,31.5393701,-82.4623557
"Alpena, MI",0,45.0176181,-83.6670019
"Altoona, PA",1,40.5193586,-78.3968299
"Altus, OK",0,34.6381255,-99.3339754
"Amarillo, TX",1,35.20729,-101.8371192
"Americus, GA",1,32.0723862,-84.2326876
"Ames, IA",1,42.0267567,-93.6170448
"Amsterdam, NY",0,42.9412987,-74.1882332
"Anaheim, CA",3,33.8347516,-117.911732
"Anchorage, AK",0,61.2163129,-149.894852
"Andrews, TX",1,32.2690953,-102.6042447
"Angola, IN",0,41.634874,-84.99928
"Ann Arbor, MI",0,42.2813722,-83.7484616
"Anniston, AL",1,33.6624824,-85.8283224
"Appleton, WI",0,44.2613967,-88.4069744
"Arcadia, FL",1,27.2158826,-81.8584164
"Ardmore, OK",1,34.1729273,-97.1309119
"Arkadelphia, AR",4,34.1209292,-93.053784
"Asheville, NC",0,35.595363,-82.5508407
"Ashland, OH",0,40.7887367,-82.2360391
"Ashtabula, OH",1,41.8647873,-80.7841284
"Astoria, OR",0,46.1882007,-123.8319802
"Atchison, KS",4,39.545816,-95.3326052
"Athens, OH",4,39.355589,-82.0610404
"Athens, TN",1,35.4428864,-84.5930113
"Athens, TX",1,32.2044416,-95.854914
"Atlanta, GA",2,33.7489924,-84.3902644
"Atlantic City, NJ",0,39.3642852,-74.4229351
"Atmore, AL",1,31.0237921,-87.4938708
"Auburn, AL",0,32.6098566,-85.4807825
"Auburn, IN",0,41.3669902,-85.0588632
"Auburn, NY",1,42.9320202,-76.5672029
"Augusta, GA",1,33.4709714,-81.9748429
"Augusta, ME",0,44.3169922,-69.7734278
"Austin, MN",0,43.6679992,-92.9746498
"Austin, TX",2,30.2711286,-97.7436995
"Bainbridge, GA",4,30.9038252,-84.5754768
"Bakersfield, CA",1,35.3738712,-119.019463
"Baltimore, MD",2,39.2908816,-76.610759
"Bangor, ME",0,44.8016255,-68.7713289
"Baraboo, WI",0,43.4704014,-89.7437844
"Bardstown, KY",1,37.8092463,-85.4669015
"Barnstable Town, MA",0,41.6651395,-70.2873499
"Barre, VT",1,44.1969042,-72.5007458
"Bartlesville, OK",1,36.7421089,-95.9528877
"Batavia, NY",1,42.9980144,-78.1875515
"Batesville, AR",1,35.7708144,-91.6531128
"Battle Creek, MI",1,42.3192548,-85.1824269
"Bay City, MI",1,43.5962107,-83.8881711
"Bay City, TX",1,28.9827565,-95.969402
"Beatrice, NE",1,40.266429,-96.747369
"Beaumont, TX",1,30.0829344,-94.0984277
"Beaver Dam, WI",0,43.4577692,-88.837329
"Bedford, IN",0,38.8611619,-86.4872149
"Beeville, TX",1,28.4008319,-97.7483312
"Bellefontaine, OH",1,40.3611643,-83.7596557
"Bellingham, WA",0,48.7544012,-122.478836
"Bemidji, MN",0,47.4785418,-94.8907869
"Bend, OR",0,44.0581728,-121.3153096
"Bennettsville, SC",4,34.6173803,-79.6847814
"Bennington, VT",0,42.8788667,-73.1968205
"Berlin, NH",1,44.4688795,-71.1836547
"Big Rapids, MI",4,43.698078,-85.483656
"Big Stone Gap, VA",4,36.8677938,-82.7742267
"Billings, MT",1,45.7874957,-108.49607
"Binghamton, NY",1,42.098698,-75.9125187
"Birmingham, AL",1,33.5206824,-86.8024326
"Bismarck, ND",0,46.808327,-100.783739
"Blackfoot, ID",0,43.190039,-112.348357
"Blacksburg, VA",0,37.2296566,-80.4136767
"Bloomington, IL",0,40.4797828,-88.9939147
"Bloomington, IN",0,39.1670396,-86.5342881
"Bloomsburg, PA",0,41.0044958,-76.4537302
"Bluefield, WV",4,37.2698395,-81.2223195
"Bluffton, IN",1,40.7386579,-85.1716368
"Blytheville, AR",4,35.9288199,-89.9073557
"Bogalusa, LA",1,30.7910204,-89.8486858
"Boise City, ID",1,43.6166163,-116.200886
"Bonham, TX",1,33.5822077,-96.1785028
"Boone, NC",0,36.2187873,-81.684004
"Boston, MA",3,42.3554334,-71.060511
"Boulder, CO",0,40.0149856,-105.270545
"Bowling Green, KY",1,36.9903199,-86.4436018
"Bradford, PA",1,41.7746685,-76.5264613
"Brainerd, MN",0,46.3580221,-94.2008288
"Branson, MO",1,36.6440772,-93.2169256
"Breckenridge, CO",3,39.4829124,-106.0465486
"Bremerton, WA",0,47.5653663,-122.6246836
"Brenham, TX",0,30.1668828,-96.3977442
"Brevard, NC",0,35.2334472,-82.7342919
"Bridgeport, CT",0,41.1792695,-73.1887863
"Brookhaven, MS",1,31.5790667,-90.4407122
"Brookings, OR",0,42.0521298,-124.2832868
"Brookings, SD",0,44.311461,-96.79844
"Brownsville, TN",4,35.5939671,-89.262291
"Brownsville, TX",1,25.9024289,-97.4981698
"Brownwood, TX",1,31.7070026,-98.9831022
"Brunswick, GA",0,31.1499528,-81.4914894
"Bucyrus, OH",4,40.8083909,-82.9754649
"Buffalo, NY",0,42.8867166,-78.8783922
"Burley, ID",1,42.5357428,-113.792794
"Burlington, IA",4,40.8126922,-91.1020205
"Burlington, NC",1,36.0956918,-79.4377991
"Burlington, VT",0,44.4761601,-73.212906
"Cadillac, MI",1,44.2519526,-85.4011619
"Calhoun, GA",1,31.5311784,-84.614328
"California, MD",0,38.2974855,-76.49336475677474
"Cambridge, MD",0,38.5714624,-76.0763177
"Cambridge, OH",1,40.031183,-81.5884561
"Camden, AR",4,33.5845582,-92.8343294
"Camden, NJ",1,39.9448402,-75.1198911
"Campbellsville, KY",4,37.3433974,-85.3419069
"Canton, OH",1,40.7985464,-81.3749508
"Cape Coral, FL",2,26.5625742,-81.9438802
"Cape Girardeau, MO",1,37.3034933,-89.5230357
"Carbondale, IL",1,37.7274692,-89.216655
"Carlsbad, NM",1,32.4257456,-104.237612
"Carroll, IA",1,42.0193628,-94.860335
"Carson City, NV",0,39.1663259,-119.7670374
"Casper, WY",0,42.8501191,-106.325138
"Cañon City, CO",1,38.4422506,-105.2348795
"Cedar City, UT",0,37.6774238,-113.061827
"Cedar Rapids, IA",1,41.9758872,-91.6704053
"Cedartown, GA",1,34.0124425,-85.2559398
"Celina, OH",1,40.5489358,-84.5702338
"Central City, KY",1,37.2939322,-87.1233292
"Centralia, IL",4,38.5250491,-89.1334037
"Centralia, WA",0,46.7204489,-122.96143
"Chambersburg, PA",0,39.9375112,-77.6612586
"Champaign, IL",0,40.1164841,-88.2430932
"Charleston, IL",4,39.4961458,-88.1761521
"Charleston, SC",1,32.7884363,-79.9399309
"Charlottesville, VA",0,38.029306,-78.4766781
"Cheyenne, WY",1,41.139981,-104.820246
"Chicago, IL",2,41.8755616,-87.6244212
"Chico, CA",1,39.7284945,-121.8374777
"Chillicothe, OH",0,39.3331197,-82.9824019
"Cincinnati, OH",1,39.1014537,-84.5124602
"Clarksdale, MS",4,34.2006479,-90.5702071
"Clarksville, TN",1,36.5277607,-87.3588703
"Clearlake, CA",1,38.9582307,-122.626372
"Cleveland, MS",4,33.7440023,-90.7248187
"Cleveland, OH",1,41.4996574,-81.6936772
"Cleveland, TN",1,35.1595182,-84.8766115
"Clewiston, FL",1,26.7542312,-80.9336753
"Clinton, IA",1,41.9054695,-90.5599971
"Clovis, NM",0,34.405472,-103.2050709
"Coeur d'Alene, ID",0,47.6742994,-116.7811531
"Coffeyville, KS",4,37.0372999,-95.6163634
"Coldwater, MI",4,41.941091,-85.0030617
"College Station, TX",1,30.6183939,-96.3455991
"Columbia, MO",1,38.951883,-92.3337366
"Columbus, IN",1,39.2014405,-85.9213796
"Columbus, MS",4,33.4956744,-88.4272627
"Columbus, NE",0,41.4292988,-97.3581439
"Columbus, OH",1,39.9622601,-83.0007065
"Concord, NH",0,43.207178,-71.537476
"Connersville, IN",1,39.6411589,-85.1410748
"Cookeville, TN",1,36.1623886,-85.4997057
"Coos Bay, OR",0,43.3678937,-124.2174647
"Cordele, GA",4,31.9691606,-83.782718
"Corinth, MS",4,34.9343599,-88.5223353
"Cornelia, GA",1,34.5114883,-83.5271166
"Corning, NY",4,42.1435257,-77.0543408
"Corsicana, TX",1,32.091299,-96.4646821
"Cortland, NY",1,42.5842136,-76.0704906
"Corvallis, OR",0,44.5645659,-123.2620435
"Coshocton, OH",1,40.2905684,-81.9271441
"Craig, CO",0,40.5152491,-107.5464541
"Crawfordsville, IN",1,40.0408627,-86.8997385
"Crescent City, CA",0,41.7538193,-124.1966461
"Crestview, FL",1,30.7621326,-86.5705084
"Crossville, TN",0,35.949684,-85.0274835
"Cullman, AL",1,34.1335332,-86.8779268
"Cullowhee, NC",0,35.3137739,-83.1765814
"Cumberland, MD",1,39.6526498,-78.762383
"Dallas, TX",2,32.7762719,-96.7968559
"Dalton, GA",1,34.7691867,-84.9702475
"Danville, IL",4,40.125222,-87.6304614
"Danville, KY",1,37.6456488,-84.7721823
"Danville, VA",1,36.5879877,-79.3916713
"Daphne, AL",1,30.6035255,-87.9036047
"Davenport, IA",1,41.5235808,-90.5770967
"Dayton, OH",1,39.7589478,-84.1916069
"Dayton, TN",1,35.4939587,-85.0124535
"DeRidder, LA",4,30.846201,-93.289281
"Decatur, AL",1,34.6060203,-86.9838165
"Decatur, IL",1,39.8454163,-88.9524151
"Decatur, IN",0,39.2862128,-85.4943058
"Defiance, OH",1,41.3203058,-84.5084835
"Del Rio, TX",1,29.357515,-100.8987707
"Deltona, FL",1,28.904843,-81.2273119
"Deming, NM",4,32.2627416,-107.7581979
"Denver, CO",2,39.7392364,-104.984862
"Des Moines, IA",1,41.5868654,-93.6249494
"Detroit, MI",1,42.3315509,-83.0466403
"Dickinson, ND",0,46.8791756,-102.7896242
"Dixon, IL",0,41.8425197,-89.4814291
"Dodge City, KS",1,37.7527982,-100.0170787
"Dothan, AL",1,31.2237285,-85.3934375
"Douglas, GA",1,33.6995565,-84.7622973
"Dover, DE",0,39.158168,-75.5243682
"DuBois, PA",0,41.118651,-78.7622342
"Dublin, GA",1,32.5404447,-82.903754
"Dubuque, IA",1,42.5006243,-90.6647985
"Duncan, OK",4,34.5023029,-97.9578129
"Durango, CO",0,37.2769484,-107.8766
"Durant, OK",0,33.9919761,-96.3776762
"Durham, NC",0,35.996653,-78.9018053
"Dyersburg, TN",1,36.0346393,-89.3857496
"Eagle Pass, TX",1,28.7083999,-100.503941
"East Stroudsburg, PA",1,40.9995386,-75.1812913
"Easton, MD",0,38.7744625,-76.0763244
"Eau Claire, WI",0,44.811349,-91.4984941
"Edwards, CO",3,39.624457,-106.63085239890027
"Effingham, IL",4,39.0520902,-88.6029006
"El Campo, TX",4,29.1966405,-96.2696867
"El Centro, CA",0,32.792,-115.563051
"El Dorado, AR",1,33.2115087,-92.6650144
"El Paso, TX",1,31.7601164,-106.4870404
"Elgin, IL",0,42.03726,-88.2810994
"Elizabeth City, NC",1,36.3010192,-76.2203699
"Elizabethtown, KY",1,37.693952,-85.8591285
"Elk City, OK",4,35.4140081,-99.4138648
"Elkhart, IN",1,41.6012796,-85.8590603
"Elko, NV",0,41.1958128,-115.3272864
"Ellensburg, WA",0,46.9970635,-120.545122
"Elmira, NY",4,42.0897965,-76.8077338
"Emporia, KS",4,38.4040054,-96.181623
"Enid, OK",1,36.3967623,-97.8791341
"Enterprise, AL",1,31.3151708,-85.8552161
"Erie, PA",1,42.1294712,-80.0852695
"Escanaba, MI",1,45.7455707,-87.0647434
"Española, NM",0,35.9910962,-106.080835
"Eufaula, AL",1,31.8912717,-85.1454876
"Eugene, OR",0,44.0505054,-123.0950506
"Eureka, CA",1,40.7906871,-124.1673746
"Evanston, WY",0,41.2682462,-110.963758
"Evansville, IN",1,37.970495,-87.5715641
"Fairbanks, AK",1,64.837845,-147.716675
"Fairfield, IA",4,41.0072342,-91.9630039
"Fairmont, MN",1,43.6521775,-94.4610832
"Fallon, NV",0,39.4745166,-118.777895
"Faribault, MN",0,43.6647961,-93.9510501
"Farmington, MO",1,37.7803037,-90.4226371
"Farmington, NM",1,36.7291152,-108.205445
"Fayetteville, AR",1,36.0625843,-94.1574328
"Fayetteville, NC",1,35.0525759,-78.878292
"Fergus Falls, MN",1,46.283015,-96.077558
"Fernley, NV",0,39.6075249,-119.2508406
"Findlay, OH",1,41.0413873,-83.6503982
"Fitzgerald, GA",4,31.715036,-83.2541994
"Flagstaff, AZ",0,35.1987522,-111.651822
"Flint, MI",1,43.0161693,-83.6900211
"Florence, AL",1,34.79981,-87.677251
"Florence, SC",1,34.1984435,-79.7671658
"Fond du Lac, WI",1,43.7533414,-88.4493796
"Forest City, NC",1,35.3337279,-81.8649245
"Forrest City, AR",0,35.0081474,-90.7898342
"Fort Collins, CO",0,40.5871782,-105.0770113
"Fort Lauderdale, FL",2,26.1223084,-80.1433786
"Fort Leonard Wood, MO",1,37.70114,-92.16933029454007
"Fort Madison, IA",1,40.6311415,-91.3084007
"Fort Morgan, CO",1,40.2502582,-103.799951
"Fort Payne, AL",1,34.4442547,-85.7196893
"Fort Polk South, LA",1,31.08097335,-93.19981677492012
"Fort Smith, AR",1,35.3880338,-94.4265011
"Fort Wayne, IN",1,41.0799898,-85.1386015
"Fort Worth, TX",2,32.753177,-97.3327459
"Frankfort, IN",0,40.2797657,-86.5108244
"Frankfort, KY",1,38.2009055,-84.8732836
"Frederick, MD",0,39.415779,-77.4127562
"Fredericksburg, TX",1,30.2752011,-98.8719843
"Freeport, IL",1,42.2966861,-89.6212271
"Fremont, NE",1,41.4338363,-96.4960449
"Fremont, OH",0,41.3473413,-83.1134972
"Fresno, CA",1,36.7394421,-119.78483
"Gadsden, AL",1,34.0128323,-86.0030251
"Gaffney, SC",1,35.0717945,-81.6498195
"Gainesville, FL",1,29.6519684,-82.3249846
"Gainesville, GA",0,34.2978794,-83.8240663
"Gainesville, TX",1,33.6258504,-97.1332963
"Galesburg, IL",4,40.9475652,-90.3712169
"Gallup, NM",4,35.5283506,-108.743907
"Garden City, KS",1,37.9716898,-100.8726618
"Gardnerville Ranchos, NV",0,38.8958109,-119.7419547
"Gary, IN",1,41.5702561,-87.3365496
"Georgetown, SC",0,33.4392245,-79.3343041
"Gettysburg, PA",1,39.8308973,-77.231012
"Gillette, WY",4,44.290635,-105.501876
"Glasgow, KY",1,36.995906,-85.9124842
"Glens Falls, NY",0,43.309941,-73.644447
"Glenwood Springs, CO",0,39.5466381,-107.3246941
"Gloversville, NY",1,43.0508945,-74.3452991
"Goldsboro, NC",1,35.3848841,-77.9927651
"Granbury, TX",1,32.4426759,-97.7870525
"Grand Island, NE",1,40.924271,-98.338685
"Grand Junction, CO",1,39.0672568,-108.56448
"Grand Rapids, MI",0,42.9632425,-85.6678639
"Grand Rapids, MN",0,47.237166,-93.530214
"Grants Pass, OR",0,42.4393707,-123.3272489
"Grants, NM",4,35.14726,-107.851446
"Great Falls, MT",0,47.5048851,-111.29189
"Greeley, CO",1,40.4233142,-104.7091322
"Green Bay, WI",0,44.5126379,-88.0125794
"Greeneville, TN",1,36.1631575,-82.8309861
"Greensboro, NC",1,36.0726355,-79.7919754
"Greensburg, IN",1,39.3372722,-85.483581
"Greenville, MS",4,33.4111051,-91.0635857
"Greenville, NC",0,35.613224,-77.3724593
"Greenville, OH",1,40.1023909,-84.6332986
"Greenville, SC",1,34.851354,-82.3984882
"Greenwood, MS",0,33.5162315,-90.1795281
"Greenwood, SC",1,34.1489805,-82.112882
"Grenada, MS",1,33.772401,-89.7674875
"Gulfport, MS",1,30.3674198,-89.0928155
"Guymon, OK",4,36.6828041,-101.4815493
"Hagerstown, MD",1,39.6430455,-77.7191081
"Hailey, ID",3,43.519629,-114.315325
"Hammond, LA",1,30.5043583,-90.4611995
"Hanford, CA",1,36.3277959,-119.6461565
"Hannibal, MO",1,39.7082498,-91.3587413
"Harrisburg, PA",1,40.2663107,-76.8861122
"Harrison, AR",0,36.2297936,-93.1076765
"Harrisonburg, VA",0,38.4493315,-78.8688833
"Hartford, CT",0,41.764582,-72.6908547
"Hastings, NE",4,40.5861322,-98.3898883
"Heber, UT",3,40.506463,-111.4132963
"Henderson, NC",1,35.3389062,-82.4663918
"Hermiston, OR",0,45.8404101,-119.28946
"Hickory, NC",1,35.7333312,-81.3442915
"Hillsdale, MI",1,41.8779105,-84.5984396
"Hilo, HI",0,19.7073734,-155.08158
"Hilton Head Island, SC",0,32.1618488,-80.7512616
"Hinesville, GA",0,31.8477347,-81.5960705
"Hobbs, NM",1,32.707667,-103.1311314
"Holland, MI",0,42.7876022,-86.1090828
"Homosassa Springs, FL",1,28.8150599,-82.5550448941568
"Honolulu, HI",3,21.304547,-157.855676
"Hood River, OR",0,45.5311636,-121.6475587
"Hope, AR",1,33.6670616,-93.5915665
"Hot Springs, AR",1,34.5038393,-93.0552437
"Houghton, MI",1,46.8591287,-88.7774734
"Houma, LA",1,29.5957696,-90.7195348
"Houston, TX",2,29.7589382,-95.3676974
"Hudson, NY",0,42.2528649,-73.790959
"Huntington, IN",1,40.8008286,-85.5018494
"Huntington, WV",1,38.4192496,-82.445154
"Huntsville, AL",1,34.729847,-86.5859011
"Huntsville, TX",4,30.7235263,-95.5507771
"Huron, SD",4,44.36308,-98.214388
"Hutchinson, KS",1,38.0608444,-97.9297743
"Hutchinson, MN",1,44.8877401,-94.3697057
"Idaho Falls, ID",1,43.4887907,-112.03628
"Indiana, PA",4,40.6424116,-79.1262839
"Indianapolis, IN",2,39.7683331,-86.1583502
"Indianola, MS",4,33.4509513,-90.6550917
"Iowa City, IA",0,41.6612561,-91.5299106
"Iron Mountain, MI",4,45.820233,-88.06596
"Ithaca, NY",0,42.4374175,-76.54837235139263
"Jackson, MI",1,32.2998686,-90.1830408
"Jackson, MS",1,32.2998686,-90.1830408
"Jackson, OH",0,39.0131871,-82.6089043
"Jackson, TN",1,35.6144446,-88.8177418
"Jackson, WY",3,43.479965,-110.761815
"Jacksonville, FL",2,30.3321838,-81.655651
"Jacksonville, IL",4,39.7343697,-90.228782
"Jacksonville, NC",1,34.7494749,-77.4208221
"Jacksonville, TX",1,31.963778,-95.2705042
"Jamestown, ND",1,46.910544,-98.708436
"Jamestown, NY",1,42.0965167,-79.2380322
"Janesville, WI",0,42.6829765,-89.0226793
"Jasper, AL",1,33.8312185,-87.2775053
"Jasper, IN",4,41.0321808,-87.1066598
"Jefferson City, MO",1,38.577359,-92.1724265
"Jefferson, GA",1,33.0380388,-82.436141
"Jennings, LA",4,30.2224284,-92.657085
"Jesup, GA",1,31.6074365,-81.8853924
"Johnson City, TN",0,36.3134398,-82.3534728
"Johnstown, PA",1,40.3267407,-78.9219698
"Jonesboro, AR",1,35.8272257,-90.6949871
"Joplin, MO",1,37.0841838,-94.5133385
"Kahului, HI",3,20.8894101,-156.4727118
"Kalamazoo, MI",1,42.291707,-85.5872286
"Kankakee, IL",0,41.1253903,-87.848682
"Kapaa, HI",3,22.0833399,-159.34635231502904
"Kearney, NE",0,40.4906216,-98.9472344
"Keene, NH",0,42.933597,-72.2784264
"Kendallville, IN",4,41.4414385,-85.2649754
"Kennett, MO",4,36.2381082,-90.0551598
"Kennewick, WA",0,46.2087066,-119.119919
"Kerrville, TX",1,30.048469,-99.1399464
"Ketchikan, AK",0,55.3430696,-131.6466819
"Key West, FL",3,24.5548262,-81.8020722
"Kill Devil Hills, NC",0,36.0321186,-75.6776147
"Killeen, TX",1,31.1171441,-97.727796
"Kingsport, TN",1,36.550238,-82.5594293
"Kingston, NY",0,41.9287812,-74.0023825
"Kingsville, TX",1,27.5158689,-97.856109
"Kinston, NC",1,35.2626635,-77.5816353
"Kirksville, MO",1,40.1948848,-92.5833939
"Klamath Falls, OR",1,42.224867,-121.78167
"Knoxville, TN",1,35.9603948,-83.9210261
"Kokomo, IN",1,40.4864444,-86.1336351
"La Crosse, WI",0,43.8122836,-91.2514355
"La Grande, OR",0,45.3246068,-118.0878695
"LaGrange, GA",1,33.039291,-85.0313269
"Laconia, NH",0,43.5278546,-71.470351
"Lafayette, IN",1,40.4191229,-86.8919011
"Lafayette, LA",1,30.2262187,-92.0178202
"Lake Charles, LA",1,30.2305095,-93.2169807
"Lake City, FL",0,30.1894252,-82.6394803
"Lake County, IL",0,42.332738,-87.9939552
"Lake Havasu City, AZ",1,34.4775296,-114.3379972
"Lakeland, FL",1,28.0394654,-81.9498042
"Lancaster, PA",0,40.0379958,-76.3056707
"Lansing, MI",1,42.7338254,-84.5546295
"Laramie, WY",1,41.3116442,-105.5917876
"Laredo, TX",1,27.5075005,-99.5069922
"Las Cruces, NM",1,32.3140354,-106.779807
"Las Vegas, NM",4,35.5939325,-105.223896
"Las Vegas, NV",2,36.2533896,-115.2794366262601
"Laurinburg, NC",1,34.7740495,-79.4628248
"Lawrence, KS",0,38.9719137,-95.2359403
"Lawrenceburg, TN",1,35.2423023,-87.3347389
"Lawton, OK",1,34.6086854,-98.3903305
"Lebanon, MO",0,37.6806669,-92.6637835
"Lebanon, NH",0,43.643032,-72.251587
"Lebanon, PA",0,40.375713,-76.4626118
